"Identificador URL";Nome;Categorias;"Nome da variação 1";"Valor da variação 1";"Nome da variação 2";"Valor da variação 2";"Nome da variação 3";"Valor da variação 3";Preço;"Preço promocional";"Peso (kg)";"Altura (cm)";"Largura (cm)";"Comprimento (cm)";Estoque;SKU;"Código de barras";"Exibir na loja";"Frete gratis";Descrição;Tags;"Título para SEO";"Descrição para SEO";Marca;"Produto Físico";"MPN (Cód. Exclusivo, Modelo Fabricante)";Sexo;"Faixa etária";Custo
prod-calcinha-tanga-duhellen-bege-0937;;;Cor;Bege;Tamanho;G;;;39.00;27.00;0.03;5.00;15.00;15.00;5;0937BEGG;7,90E+12;;;;;;;;;0937BEGG;Feminino;Adulto;10.00
prod-calcinha-tanga-duhellen-bege-0937;;;Cor;Bege;Tamanho;GG;;;39.00;27.00;0.03;5.00;15.00;15.00;3;0937BEGGG;7,90E+12;;;;;;;;;0937BEGGG;Feminino;Adulto;10.00
prod-calcinha-basica-elastico-aberto-branco-duhellen-0998;"Calcinha Básica Elástico Aberto Branco Duhellen 0998";"Calcinhas > Básicas, Calcinhas > Tanga, Coleções > Basic, #DuhLovers > Gabi Camargo, #DuhLovers > Lais Crisostomo, #DuhLovers > Larissa Caetano, #DuhLovers > Pamela Otero, #DuhLovers > Sophia Marins";Cor;Branco;Tamanho;G;;;39.00;27.00;0.03;5.00;15.00;15.00;9;0998BCOG;7,90E+12;SIM;NÃO;;"Calcinha Basica Elastico Aberto Branco Duhellen 0998";"Calcinha Básica Elástico Aberto Branco Duhellen 0998";;"Duhellen Lingerie";SIM;0998BCOG;Feminino;Adulto;10.00
prod-calcinha-basica-elastico-aberto-branco-duhellen-0998;;;Cor;Branco;Tamanho;GG;;;39.00;27.00;0.03;5.00;15.00;15.00;8;0998BCOGG;7,90E+12;;;;;;;;;0998BCOGG;Feminino;Adulto;10.00
prod-calcinha-basica-elastico-aberto-preto-duhellen-0998;"Calcinha Básica Elástico Aberto Preto Duhellen 0998";"Calcinhas > Básicas, Calcinhas > Tanga, Coleções > Basic, #DuhLovers > Dra. Marianna Mármora, #DuhLovers > Gabi Camargo, #DuhLovers > Kamila Smaili, #DuhLovers > Larissa Caetano, #DuhLovers > Pamela Otero, #DuhLovers > Sophia Marins, #DuhLovers > Vittoria Dutra, DUHSALE";Cor;Preto;Tamanho;P;;;39.00;27.00;0.03;5.00;15.00;15.00;2;0998PTOP;;SIM;NÃO;;"Calcinha Basica Elastico Aberto Preto Duhellen 0998";"Calcinha Básica Elástico Aberto Preto Duhellen 0998";;"Duhellen Lingerie";SIM;0998PTOP;Feminino;Adulto;10.00
calcinha-microfibra-dupla-cos-alto-reforcado-bege-1609;"Calcinha Microfibra Dupla Cós Alto Reforçado Bege 1609";"Calcinhas > Básicas, Calcinhas > Cós Alto, Coleções > Basic, #DuhLovers > Amanda Tayar, #DuhLovers > Andrea Maluxenas, #DuhLovers > Consultora Dai, #DuhLovers > Gabi Camargo, #DuhLovers > Gabi Lima, #DuhLovers > Giulia Schwanke, #DuhLovers > Katia Carvalho, #DuhLovers > Lara Cunha, #DuhLovers > Larissa Caetano, #DuhLovers > Pamela Otero, #DuhLovers > Roberta Frias, #DuhLovers > Sophia Marins, #DuhLovers > Todas na Modinha, #DuhLovers > Vittoria Dutra";Cor;Bege;Tamanho;M;;;79.00;57.00;0.05;5.00;15.00;15.00;7;1609BEGM;7,90E+12;SIM;NÃO;;"Calcinha Microfibra Dupla Cos Alto Reforcado Bege 1609";"Calcinha Microfibra Dupla Cós Alto Reforçado Bege 1609";;"Duemes Moda Íntima";SIM;1609BEGM;Feminino;Adulto;16.00
calcinha-microfibra-dupla-cos-alto-reforcado-bege-1609;;;Cor;Bege;Tamanho;P;;;79.00;57.00;0.05;5.00;15.00;15.00;8;1609BEGP;7,90E+12;;;;;;;;;1609BEGP;Feminino;Adulto;16.00
calcinha-microfibra-dupla-cos-alto-reforcado-bege-1609;;;Cor;Bege;Tamanho;G;;;79.00;57.00;0.05;5.00;15.00;15.00;7;1609BEGG;7,90E+12;;;;;;;;;1609BEGG;Feminino;Adulto;16.00
calcinha-microfibra-dupla-cos-alto-reforcado-bege-1609;;;Cor;Bege;Tamanho;GG;;;79.00;57.00;0.05;5.00;15.00;15.00;8;1609BEGGG;7,90E+12;;;;;;;;;1609BEGGG;Feminino;Adulto;16.00
prod-cropped-gola-alta-em-renda-sem-bojo-duhellen-branco-6003;"Cropped Gola Alta Em Renda Sem Bojo Duhellen Branco 6003";OUTLET;Cor;Branco;Tamanho;"P (42)";;;109.00;54.00;0.10;8.00;15.00;25.00;7;6003BCOP;;SIM;NÃO;;"Cropped Gola Alta Em Renda Sem Bojo Duhellen Branco 6003";"Cropped Gola Alta Em Renda Sem Bojo Duhellen Branco 6003";;"Duhellen Lingerie";SIM;6003BCOP;Feminino;Adulto;30.00
